Date,P,PET,Pe,ETa,S,SUST,Qs,Rp,R,h,hmeas,Smeas
2002-05-29,0.0,6.5,0.0,1.21957065814,0.313773011885,0.0,0.0,0.0,0.332739532789,221.004228517,,
2002-05-30,0.0,7.0,0.0,1.27671284665,0.312456813074,0.0,0.0,0.0,0.335571127828,221.006033787,,
2002-05-31,0.0,7.0,0.0,1.23832371467,0.311180190688,0.0,0.0,0.0,0.337933637642,221.007904552,,
2002-06-01,0.0,6.8,0.0,1.16677206949,0.309977332884,0.0,0.0,0.0,0.339831682192,221.009827468,,
2002-06-02,0.0,6.4,0.0,1.06606221025,0.308878299678,0.0,0.0,0.0,0.341271588275,221.011789388,,
2002-06-03,0.0,5.2,0.0,0.842363159689,0.308009884049,0.0,0.0,0.0,0.342261257096,221.013777404,,
2002-06-04,2.2,3.4,0.0,0.538473357367,0.307454756877,0.0,0.0,0.0,0.342810031066,221.01577889,,
2002-06-05,5.4,5.6,2.4,0.93167628589,0.308968492665,0.0,0.0,0.0,0.342928560984,221.017781539,,
2002-06-06,0.0,3.2,0.0,0.519579902195,0.308432843281,0.0,0.0,0.0,0.342628674592,221.019773395,,
2002-06-07,1.1,4.2,0.0,0.672574757416,0.307739467242,0.0,0.0,0.0,0.341923247419,221.021742882,,
2002-06-08,0.1,5.0,0.0,0.786238900882,0.306928911674,0.0,0.0,0.0,0.340826076661,221.023678834,,
2002-06-09,0.0,6.1,0.0,0.938609838392,0.305961272666,0.0,0.0,0.0,0.3393517588,221.02557051,,
2002-06-10,0.0,6.5,0.0,0.973951134698,0.304957199331,0.0,0.0,0.0,0.337515571484,221.027407623,,
2002-06-11,0.0,7.5,0.0,1.09241247909,0.303831000899,0.0,0.0,0.0,0.335333360184,221.029180345,,
2002-06-12,0.0,6.8,0.0,0.958545025471,0.302842810151,0.0,0.0,0.0,0.332821429974,221.030879329,,
2002-06-13,0.0,6.2,0.0,0.848439262236,0.301968130499,0.0,0.0,0.0,0.329996442751,221.03249571,,
2002-06-14,0.0,7.4,0.0,0.985684023728,0.300951961403,0.0,0.0,0.0,0.326875320118,221.034021121,,
2002-06-15,0.0,7.6,0.0,0.980145444417,0.299941502182,0.0,0.0,0.0,0.323475152084,221.035447689,,
2002-06-16,0.0,7.7,0.0,0.960623194993,0.298951168991,0.0,0.0,0.0,0.319813111677,221.036768043,,
2002-06-17,0.0,8.1,0.0,0.977101953442,0.297943847389,0.0,0.0,0.0,0.31590637551,221.037975308,,
2002-06-18,0.0,7.5,0.0,0.873245230919,0.297043594574,0.0,0.0,0.0,0.311772050296,221.039063108,,
2002-06-19,0.0,7.3,0.0,0.822576001626,0.296195578077,0.0,0.0,0.0,0.307427105239,221.040025559,,
2002-06-20,0.0,7.2,0.0,0.785867342325,0.29538540556,0.0,0.0,0.0,0.30288831024,221.04085726,,
2002-06-21,0.0,7.2,0.0,0.761562166789,0.294600289924,0.0,0.0,0.0,0.298172179767,221.04155329,222.26,
2002-06-22,0.0,7.8,0.0,0.799509422523,0.293776053406,0.0,0.0,0.0,0.293294922246,221.042109197,,
2002-06-23,0.0,7.6,0.0,0.752908357847,0.292999859222,0.0,0.0,0.0,0.288272394803,221.042520985,,
