# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# stream geometry in EPSG:23029 -- GRID-INDEPENDENT, the model maps it onto its own grid
seg_id,seq,x,y
65,3,741113.621,4554375.123
65,4,741128.621,4554360.123
65,5,741133.621,4554340.123
66,0,741133.621,4554340.123
66,1,741133.621,4554335.123
67,0,741133.621,4554335.123
67,1,741133.621,4554330.123
68,0,741133.621,4554330.123
68,1,741138.621,4554330.123
69,0,741138.621,4554330.123
69,1,741143.621,4554325.123
70,0,741133.621,4554330.123
70,1,741138.621,4554320.123
71,0,740488.621,4554255.123
71,1,740498.621,4554270.123
71,2,740498.621,4554325.123
71,3,740508.621,4554340.123
71,4,740518.621,4554340.123
72,0,741143.621,4554325.123
72,1,741173.621,4554290.123
72,2,741188.621,4554290.123
72,3,741198.621,4554280.123
72,4,741233.621,4554280.123
72,5,741263.621,4554265.123
72,6,741283.621,4554245.123
72,7,741303.621,4554235.123
73,0,740463.621,4554210.123
73,1,740468.621,4554210.123
74,0,740463.621,4554210.123
74,1,740438.621,4554180.123
74,2,740418.621,4554175.123
74,3,740383.621,4554150.123
75,0,740518.621,4554340.123
75,1,740523.621,4554330.123
75,2,740523.621,4554295.123
75,3,740533.621,4554285.123
75,4,740543.621,4554285.123
75,5,740583.621,4554265.123
75,6,740618.621,4554235.123
75,7,740633.621,4554235.123
75,8,740673.621,4554215.123
75,9,740683.621,4554205.123
75,10,740693.621,4554165.123
75,11,740713.621,4554145.123
76,0,741138.621,4554320.123
76,1,741138.621,4554255.123
76,2,741143.621,4554255.123
76,3,741153.621,4554240.123
76,4,741148.621,4554210.123
76,5,741203.621,4554150.123
76,6,741203.621,4554135.123
76,7,741243.621,4554085.123
76,8,741243.621,4554065.123
76,9,741253.621,4554045.123
76,10,741253.621,4554005.123
77,0,741253.621,4554005.123
77,1,741253.621,4554000.123
78,0,741248.621,4553995.123
78,1,741253.621,4553995.123
79,0,741253.621,4554000.123
79,1,741253.621,4553995.123
80,0,741248.621,4553995.123
80,1,741238.621,4553985.123
80,2,741238.621,4553970.123
81,0,741238.621,4553970.123
81,1,741238.621,4553965.123
82,0,740468.621,4554210.123
82,1,740463.621,4554195.123
82,2,740463.621,4554150.123
82,3,740468.621,4554145.123
82,4,740468.621,4554125.123
82,5,740483.621,4554110.123
82,6,740483.621,4554065.123
82,7,740478.621,4554060.123
82,8,740478.621,4554030.123
82,9,740453.621,4553990.123
82,10,740453.621,4553965.123
82,11,740448.621,4553960.123
83,0,741238.621,4553965.123
83,1,741238.621,4553960.123
84,0,741238.621,4553960.123
84,1,741238.621,4553955.123
85,0,741238.621,4553955.123
85,1,741238.621,4553950.123
86,0,741238.621,4553950.123
86,1,741238.621,4553945.123
87,0,741238.621,4553945.123
87,1,741243.621,4553945.123
88,0,741253.621,4553995.123
88,1,741253.621,4553965.123
88,2,741273.621,4553940.123
88,3,741288.621,4553930.123
88,4,741318.621,4553930.123
88,5,741328.621,4553920.123
88,6,741348.621,4553920.123
88,7,741363.621,4553910.123
88,8,741363.621,4553900.123
88,9,741373.621,4553890.123
89,0,741373.621,4553890.123
89,1,741418.621,4553885.123
89,2,741428.621,4553875.123
89,3,741458.621,4553875.123
89,4,741503.621,4553895.123
89,5,741513.621,4553905.123
89,6,741513.621,4553925.123
89,7,741528.621,4553935.123
89,8,741543.621,4553935.123
89,9,741553.621,4553945.123
89,10,741588.621,4553945.123
90,0,741373.621,4553890.123
90,1,741376.121,4553857.623
91,0,741376.121,4553857.623
91,1,741403.621,4553820.123
92,0,741403.621,4553820.123
92,1,741413.621,4553815.123
92,2,741438.621,4553815.123
92,3,741488.621,4553770.123
92,4,741518.621,4553770.123
92,5,741523.621,4553775.123
92,6,741593.621,4553770.123
92,7,741648.621,4553725.123
93,0,741238.621,4553945.123
93,1,741238.621,4553900.123
93,2,741243.621,4553885.123
